Origin,Destination,Time
Sheung Wan,Wan Chai,7 mins
Sheung Wan,Causeway Bay,9 mins
Sheung Wan,Tin Hau,11 mins
Sheung Wan,Fortress Hill,13 mins
Sheung Wan,North Point,15 mins
Sheung Wan,Quarry Bay,17 mins
Sheung Wan,Tai Koo,19 mins
Sheung Wan,Sai Wan Ho,20 mins
Sheung Wan,Shau Kei Wan,22 mins
Sheung Wan,Heng Fa Chuen,24 mins
Sheung Wan,Chai Wan,26 mins
Sheung Wan,Lam Tin,27 mins
Sheung Wan,Hong Kong,10 mins
Sheung Wan,Kowloon,15 mins
Sheung Wan,Olympic,17 mins
Sheung Wan,Tsing Yi,26 mins
Sheung Wan,Tung Chung,41 mins
Sheung Wan,Airport,36 mins
Sheung Wan,Yau Tong,23 mins
Sheung Wan,Tiu Keng Leng,26 mins
Sheung Wan,Tseung Kwan O,28 mins
Sheung Wan,Hang Hau,31 mins
Sheung Wan,Po Lam,33 mins
Sheung Wan,Nam Cheong,19 mins
Sheung Wan,Sunny Bay,34 mins
Sheung Wan,Disneyland Resort,41 mins
Sheung Wan,AsiaWorld-Expo,40 mins
Sheung Wan,LOHAS Park,34 mins
Sheung Wan,Hung Hom,15 mins
Sheung Wan,Mong Kok East,18 mins
Sheung Wan,Tai Wai,25 mins
Sheung Wan,Sha Tin,27 mins
Sheung Wan,Fo Tan,30 mins
Sheung Wan,Racecourse,35 mins
Sheung Wan,University,33 mins
Sheung Wan,Tai Po Market,39 mins
Sheung Wan,Tai Wo,41 mins
Sheung Wan,Fanling,46 mins
Sheung Wan,Sheung Shui,48 mins
Sheung Wan,Lo Wu,52 mins
Sheung Wan,Lok Ma Chau,58 mins
Sheung Wan,East Tsim Sha Tsui,20 mins
Sheung Wan,Sai Ying Pun,3 mins
Sheung Wan,HKU,4 mins
Sheung Wan,Kennedy Town,6 mins
Sheung Wan,Ho Man Tin,19 mins
Sheung Wan,Whampoa,22 mins
Sheung Wan,Ocean Park,14 mins
Sheung Wan,Wong Chuk Hang,16 mins
Sheung Wan,Lei Tung,18 mins
Sheung Wan,South Horizons,20 mins
Sheung Wan,Hin Keng,32 mins
Sheung Wan,Kai Tak,26 mins
Sheung Wan,Sung Wong Toi,24 mins
Sheung Wan,To Kwa Wan,22 mins
Sheung Wan,Exhibition Centre,11 mins
Sheung Wan,Che Kung Temple,32 mins
Sheung Wan,Sha Tin Wai,33 mins
Sheung Wan,City One,36 mins
Sheung Wan,Shek Mun,37 mins
Sheung Wan,Tai Shui Hang,41 mins
Sheung Wan,Heng On,43 mins
Sheung Wan,Ma On Shan,45 mins
Sheung Wan,Wu Kai Sha,47 mins
Sheung Wan,Austin,23 mins
Sheung Wan,Tsuen Wan West,31 mins
Sheung Wan,Kam Sheung Road,37 mins
Sheung Wan,Yuen Long,40 mins
Sheung Wan,Long Ping,42 mins
Sheung Wan,Tin Shui Wai,45 mins
Sheung Wan,Siu Hong,49 mins
Sheung Wan,Tuen Mun,52 mins
Sheung Wan,Hong Kong West Kowloon,25 mins
