Origin,Destination,Time
Admiralty,Tsim Sha Tsui,5 mins
Admiralty,Jordan,6 mins
Admiralty,Yau Ma Tei,8 mins
Admiralty,Mong Kok,10 mins
Admiralty,Shek Kip Mei,15 mins
Admiralty,Kowloon Tong,13 mins
Admiralty,Lok Fu,20 mins
Admiralty,Wong Tai Sin,22 mins
Admiralty,Diamond Hill,20 mins
Admiralty,Choi Hung,25 mins
Admiralty,Kowloon Bay,28 mins
Admiralty,Ngau Tau Kok,27 mins
Admiralty,Kwun Tong,25 mins
Admiralty,Prince Edward,12 mins
Admiralty,Sham Shui Po,14 mins
Admiralty,Cheung Sha Wan,16 mins
Admiralty,Lai Chi Kok,18 mins
Admiralty,Mei Foo,20 mins
Admiralty,Lai King,23 mins
Admiralty,Kwai Fong,25 mins
Admiralty,Kwai Hing,27 mins
Admiralty,Tai Wo Hau,29 mins
Admiralty,Tsuen Wan,30 mins
Admiralty,Sheung Wan,5 mins
Admiralty,Wan Chai,3 mins
Admiralty,Causeway Bay,5 mins
Admiralty,Tin Hau,7 mins
Admiralty,Fortress Hill,9 mins
Admiralty,North Point,11 mins
Admiralty,Quarry Bay,13 mins
Admiralty,Tai Koo,15 mins
Admiralty,Sai Wan Ho,16 mins
Admiralty,Shau Kei Wan,18 mins
Admiralty,Heng Fa Chuen,20 mins
Admiralty,Chai Wan,23 mins
Admiralty,Lam Tin,23 mins
Admiralty,Hong Kong,10 mins
Admiralty,Kowloon,15 mins
Admiralty,Olympic,17 mins
Admiralty,Tsing Yi,26 mins
Admiralty,Tung Chung,41 mins
Admiralty,Airport,36 mins
Admiralty,Yau Tong,19 mins
Admiralty,Tiu Keng Leng,22 mins
Admiralty,Tseung Kwan O,24 mins
Admiralty,Hang Hau,27 mins
Admiralty,Po Lam,29 mins
Admiralty,Nam Cheong,18 mins
Admiralty,Sunny Bay,34 mins
Admiralty,Disneyland Resort,41 mins
Admiralty,AsiaWorld-Expo,40 mins
Admiralty,LOHAS Park,30 mins
Admiralty,Hung Hom,7 mins
Admiralty,Mong Kok East,11 mins
Admiralty,Tai Wai,17 mins
Admiralty,Sha Tin,20 mins
Admiralty,Fo Tan,22 mins
Admiralty,Racecourse,27 mins
Admiralty,University,25 mins
Admiralty,Tai Po Market,31 mins
Admiralty,Tai Wo,33 mins
Admiralty,Fanling,38 mins
Admiralty,Sheung Shui,40 mins
Admiralty,Lo Wu,44 mins
Admiralty,Lok Ma Chau,50 mins
Admiralty,East Tsim Sha Tsui,12 mins
Admiralty,Sai Ying Pun,7 mins
Admiralty,HKU,8 mins
Admiralty,Kennedy Town,10 mins
Admiralty,Ho Man Tin,11 mins
Admiralty,Whampoa,15 mins
Admiralty,Ocean Park,6 mins
Admiralty,Wong Chuk Hang,8 mins
Admiralty,Lei Tung,10 mins
Admiralty,South Horizons,12 mins
Admiralty,Hin Keng,24 mins
Admiralty,Kai Tak,18 mins
Admiralty,Sung Wong Toi,16 mins
Admiralty,To Kwa Wan,14 mins
Admiralty,Exhibition Centre,3 mins
Admiralty,Che Kung Temple,24 mins
Admiralty,Sha Tin Wai,26 mins
Admiralty,City One,28 mins
Admiralty,Shek Mun,29 mins
Admiralty,Tai Shui Hang,33 mins
Admiralty,Heng On,35 mins
Admiralty,Ma On Shan,37 mins
Admiralty,Wu Kai Sha,39 mins
Admiralty,Austin,15 mins
Admiralty,Tsuen Wan West,25 mins
Admiralty,Kam Sheung Road,31 mins
Admiralty,Yuen Long,35 mins
Admiralty,Long Ping,37 mins
Admiralty,Tin Shui Wai,39 mins
Admiralty,Siu Hong,44 mins
Admiralty,Tuen Mun,46 mins
Admiralty,Hong Kong West Kowloon,19 mins
