Origin,Destination,Time
Fanling,Sheung Shui,4 mins
Fanling,Lo Wu,8 mins
Fanling,Lok Ma Chau,14 mins
Fanling,East Tsim Sha Tsui,38 mins
Fanling,Sai Ying Pun,47 mins
Fanling,HKU,48 mins
Fanling,Kennedy Town,49 mins
Fanling,Ho Man Tin,37 mins
Fanling,Whampoa,44 mins
Fanling,Ocean Park,45 mins
Fanling,Wong Chuk Hang,46 mins
Fanling,Lei Tung,49 mins
Fanling,South Horizons,51 mins
Fanling,Hin Keng,28 mins
Fanling,Kai Tak,35 mins
Fanling,Sung Wong Toi,37 mins
Fanling,To Kwa Wan,39 mins
Fanling,Exhibition Centre,36 mins
Fanling,Che Kung Temple,28 mins
Fanling,Sha Tin Wai,30 mins
Fanling,City One,32 mins
Fanling,Shek Mun,34 mins
Fanling,Tai Shui Hang,37 mins
Fanling,Heng On,39 mins
Fanling,Ma On Shan,41 mins
Fanling,Wu Kai Sha,44 mins
Fanling,Austin,40 mins
Fanling,Tsuen Wan West,51 mins
Fanling,Kam Sheung Road,57 mins
Fanling,Yuen Long,60 mins
Fanling,Long Ping,62 mins
Fanling,Tin Shui Wai,65 mins
Fanling,Siu Hong,69 mins
Fanling,Tuen Mun,72 mins
Fanling,Hong Kong West Kowloon,44 mins
