Origin,Destination,Time
Che Kung Temple,Sha Tin Wai,3 mins
Che Kung Temple,City One,5 mins
Che Kung Temple,Shek Mun,7 mins
Che Kung Temple,Tai Shui Hang,11 mins
Che Kung Temple,Heng On,13 mins
Che Kung Temple,Ma On Shan,15 mins
Che Kung Temple,Wu Kai Sha,17 mins
Che Kung Temple,Austin,24 mins
Che Kung Temple,Tsuen Wan West,35 mins
Che Kung Temple,Kam Sheung Road,41 mins
Che Kung Temple,Yuen Long,44 mins
Che Kung Temple,Long Ping,46 mins
Che Kung Temple,Tin Shui Wai,49 mins
Che Kung Temple,Siu Hong,53 mins
Che Kung Temple,Tuen Mun,56 mins
Che Kung Temple,Hong Kong West Kowloon,28 mins
