Origin,Destination,Time
Hong Kong,Kowloon,5 mins
Hong Kong,Olympic,7 mins
Hong Kong,Tsing Yi,16 mins
Hong Kong,Tung Chung,31 mins
Hong Kong,Airport,24 mins
Hong Kong,Yau Tong,28 mins
Hong Kong,Tiu Keng Leng,31 mins
Hong Kong,Tseung Kwan O,33 mins
Hong Kong,Hang Hau,36 mins
Hong Kong,Po Lam,38 mins
Hong Kong,Nam Cheong,9 mins
Hong Kong,Sunny Bay,24 mins
Hong Kong,Disneyland Resort,31 mins
Hong Kong,AsiaWorld-Expo,28 mins
Hong Kong,LOHAS Park,39 mins
Hong Kong,Hung Hom,20 mins
Hong Kong,Mong Kok East,24 mins
Hong Kong,Tai Wai,30 mins
Hong Kong,Sha Tin,33 mins
Hong Kong,Fo Tan,35 mins
Hong Kong,Racecourse,40 mins
Hong Kong,University,38 mins
Hong Kong,Tai Po Market,44 mins
Hong Kong,Tai Wo,46 mins
Hong Kong,Fanling,51 mins
Hong Kong,Sheung Shui,53 mins
Hong Kong,Lo Wu,57 mins
Hong Kong,Lok Ma Chau,63 mins
Hong Kong,East Tsim Sha Tsui,20 mins
Hong Kong,Sai Ying Pun,12 mins
Hong Kong,HKU,13 mins
Hong Kong,Kennedy Town,15 mins
Hong Kong,Ho Man Tin,23 mins
Hong Kong,Whampoa,26 mins
Hong Kong,Ocean Park,19 mins
Hong Kong,Wong Chuk Hang,21 mins
Hong Kong,Lei Tung,23 mins
Hong Kong,South Horizons,25 mins
Hong Kong,Hin Keng,37 mins
Hong Kong,Kai Tak,31 mins
Hong Kong,Sung Wong Toi,29 mins
Hong Kong,To Kwa Wan,27 mins
Hong Kong,Exhibition Centre,16 mins
Hong Kong,Che Kung Temple,37 mins
Hong Kong,Sha Tin Wai,39 mins
Hong Kong,City One,41 mins
Hong Kong,Shek Mun,42 mins
Hong Kong,Tai Shui Hang,46 mins
Hong Kong,Heng On,48 mins
Hong Kong,Ma On Shan,50 mins
Hong Kong,Wu Kai Sha,52 mins
Hong Kong,Austin,17 mins
Hong Kong,Tsuen Wan West,21 mins
Hong Kong,Kam Sheung Road,27 mins
Hong Kong,Yuen Long,30 mins
Hong Kong,Long Ping,32 mins
Hong Kong,Tin Shui Wai,35 mins
Hong Kong,Siu Hong,39 mins
Hong Kong,Tuen Mun,42 mins
Hong Kong,Hong Kong West Kowloon,15 mins
