Origin,Destination,Time
Fo Tan,Racecourse,15 mins
Fo Tan,University,5 mins
Fo Tan,Tai Po Market,10 mins
Fo Tan,Tai Wo,12 mins
Fo Tan,Fanling,17 mins
Fo Tan,Sheung Shui,19 mins
Fo Tan,Lo Wu,23 mins
Fo Tan,Lok Ma Chau,29 mins
Fo Tan,East Tsim Sha Tsui,22 mins
Fo Tan,Sai Ying Pun,31 mins
Fo Tan,HKU,32 mins
Fo Tan,Kennedy Town,34 mins
Fo Tan,Ho Man Tin,21 mins
Fo Tan,Whampoa,28 mins
Fo Tan,Ocean Park,29 mins
Fo Tan,Wong Chuk Hang,31 mins
Fo Tan,Lei Tung,33 mins
Fo Tan,South Horizons,35 mins
Fo Tan,Hin Keng,12 mins
Fo Tan,Kai Tak,19 mins
Fo Tan,Sung Wong Toi,21 mins
Fo Tan,To Kwa Wan,23 mins
Fo Tan,Exhibition Centre,20 mins
Fo Tan,Che Kung Temple,12 mins
Fo Tan,Sha Tin Wai,14 mins
Fo Tan,City One,16 mins
Fo Tan,Shek Mun,18 mins
Fo Tan,Tai Shui Hang,21 mins
Fo Tan,Heng On,23 mins
Fo Tan,Ma On Shan,26 mins
Fo Tan,Wu Kai Sha,28 mins
Fo Tan,Austin,25 mins
Fo Tan,Tsuen Wan West,35 mins
Fo Tan,Kam Sheung Road,41 mins
Fo Tan,Yuen Long,45 mins
Fo Tan,Long Ping,46 mins
Fo Tan,Tin Shui Wai,49 mins
Fo Tan,Siu Hong,54 mins
Fo Tan,Tuen Mun,56 mins
Fo Tan,Hong Kong West Kowloon,29 mins
