Origin,Destination,Time
Mei Foo,Lai King,4 mins
Mei Foo,Kwai Fong,6 mins
Mei Foo,Kwai Hing,8 mins
Mei Foo,Tai Wo Hau,10 mins
Mei Foo,Tsuen Wan,12 mins
Mei Foo,Sheung Wan,26 mins
Mei Foo,Wan Chai,23 mins
Mei Foo,Causeway Bay,26 mins
Mei Foo,Tin Hau,28 mins
Mei Foo,Fortress Hill,29 mins
Mei Foo,North Point,31 mins
Mei Foo,Quarry Bay,33 mins
Mei Foo,Tai Koo,35 mins
Mei Foo,Sai Wan Ho,37 mins
Mei Foo,Shau Kei Wan,38 mins
Mei Foo,Heng Fa Chuen,41 mins
Mei Foo,Chai Wan,43 mins
Mei Foo,Lam Tin,31 mins
Mei Foo,Hong Kong,16 mins
Mei Foo,Kowloon,13 mins
Mei Foo,Olympic,11 mins
Mei Foo,Tsing Yi,10 mins
Mei Foo,Tung Chung,24 mins
Mei Foo,Airport,29 mins
Mei Foo,Yau Tong,33 mins
Mei Foo,Tiu Keng Leng,36 mins
Mei Foo,Tseung Kwan O,39 mins
Mei Foo,Hang Hau,42 mins
Mei Foo,Po Lam,44 mins
Mei Foo,Nam Cheong,4 mins
Mei Foo,Sunny Bay,17 mins
Mei Foo,Disneyland Resort,24 mins
Mei Foo,AsiaWorld-Expo,32 mins
Mei Foo,LOHAS Park,45 mins
Mei Foo,Hung Hom,13 mins
Mei Foo,Mong Kok East,19 mins
Mei Foo,Tai Wai,24 mins
Mei Foo,Sha Tin,26 mins
Mei Foo,Fo Tan,29 mins
Mei Foo,Racecourse,33 mins
Mei Foo,University,32 mins
Mei Foo,Tai Po Market,37 mins
Mei Foo,Tai Wo,39 mins
Mei Foo,Fanling,44 mins
Mei Foo,Sheung Shui,46 mins
Mei Foo,Lo Wu,51 mins
Mei Foo,Lok Ma Chau,56 mins
Mei Foo,East Tsim Sha Tsui,10 mins
Mei Foo,Sai Ying Pun,28 mins
Mei Foo,HKU,30 mins
Mei Foo,Kennedy Town,31 mins
Mei Foo,Ho Man Tin,15 mins
Mei Foo,Whampoa,19 mins
Mei Foo,Ocean Park,28 mins
Mei Foo,Wong Chuk Hang,30 mins
Mei Foo,Lei Tung,32 mins
Mei Foo,South Horizons,34 mins
Mei Foo,Hin Keng,28 mins
Mei Foo,Kai Tak,21 mins
Mei Foo,Sung Wong Toi,19 mins
Mei Foo,To Kwa Wan,17 mins
Mei Foo,Exhibition Centre,19 mins
Mei Foo,Che Kung Temple,30 mins
Mei Foo,Sha Tin Wai,32 mins
Mei Foo,City One,34 mins
Mei Foo,Shek Mun,36 mins
Mei Foo,Tai Shui Hang,39 mins
Mei Foo,Heng On,41 mins
Mei Foo,Ma On Shan,44 mins
Mei Foo,Wu Kai Sha,46 mins
Mei Foo,Austin,7 mins
Mei Foo,Tsuen Wan West,6 mins
Mei Foo,Kam Sheung Road,12 mins
Mei Foo,Yuen Long,15 mins
Mei Foo,Long Ping,17 mins
Mei Foo,Tin Shui Wai,20 mins
Mei Foo,Siu Hong,25 mins
Mei Foo,Tuen Mun,27 mins
Mei Foo,Hong Kong West Kowloon,11 mins
