Origin,Destination,Time
Kowloon Bay,Ngau Tau Kok,3 mins
Kowloon Bay,Kwun Tong,5 mins
Kowloon Bay,Prince Edward,16 mins
Kowloon Bay,Sham Shui Po,19 mins
Kowloon Bay,Cheung Sha Wan,21 mins
Kowloon Bay,Lai Chi Kok,23 mins
Kowloon Bay,Mei Foo,25 mins
Kowloon Bay,Lai King,28 mins
Kowloon Bay,Kwai Fong,30 mins
Kowloon Bay,Kwai Hing,32 mins
Kowloon Bay,Tai Wo Hau,34 mins
Kowloon Bay,Tsuen Wan,36 mins
Kowloon Bay,Sheung Wan,33 mins
Kowloon Bay,Wan Chai,27 mins
Kowloon Bay,Causeway Bay,24 mins
Kowloon Bay,Tin Hau,22 mins
Kowloon Bay,Fortress Hill,21 mins
Kowloon Bay,North Point,16 mins
Kowloon Bay,Quarry Bay,15 mins
Kowloon Bay,Tai Koo,21 mins
Kowloon Bay,Sai Wan Ho,23 mins
Kowloon Bay,Shau Kei Wan,25 mins
Kowloon Bay,Heng Fa Chuen,27 mins
Kowloon Bay,Chai Wan,29 mins
Kowloon Bay,Lam Tin,7 mins
Kowloon Bay,Hong Kong,38 mins
Kowloon Bay,Kowloon,36 mins
Kowloon Bay,Olympic,34 mins
Kowloon Bay,Tsing Yi,33 mins
Kowloon Bay,Tung Chung,48 mins
Kowloon Bay,Airport,52 mins
Kowloon Bay,Yau Tong,9 mins
Kowloon Bay,Tiu Keng Leng,12 mins
Kowloon Bay,Tseung Kwan O,15 mins
Kowloon Bay,Hang Hau,18 mins
Kowloon Bay,Po Lam,20 mins
Kowloon Bay,Nam Cheong,30 mins
Kowloon Bay,Sunny Bay,41 mins
Kowloon Bay,Disneyland Resort,48 mins
Kowloon Bay,AsiaWorld-Expo,56 mins
Kowloon Bay,LOHAS Park,21 mins
Kowloon Bay,Hung Hom,21 mins
Kowloon Bay,Mong Kok East,20 mins
Kowloon Bay,Tai Wai,17 mins
Kowloon Bay,Sha Tin,23 mins
Kowloon Bay,Fo Tan,26 mins
Kowloon Bay,Racecourse,30 mins
Kowloon Bay,University,29 mins
Kowloon Bay,Tai Po Market,34 mins
Kowloon Bay,Tai Wo,37 mins
Kowloon Bay,Fanling,41 mins
Kowloon Bay,Sheung Shui,43 mins
Kowloon Bay,Lo Wu,48 mins
Kowloon Bay,Lok Ma Chau,53 mins
Kowloon Bay,East Tsim Sha Tsui,24 mins
Kowloon Bay,Sai Ying Pun,34 mins
Kowloon Bay,HKU,36 mins
Kowloon Bay,Kennedy Town,37 mins
Kowloon Bay,Ho Man Tin,19 mins
Kowloon Bay,Whampoa,24 mins
Kowloon Bay,Ocean Park,36 mins
Kowloon Bay,Wong Chuk Hang,38 mins
Kowloon Bay,Lei Tung,40 mins
Kowloon Bay,South Horizons,42 mins
Kowloon Bay,Hin Keng,15 mins
Kowloon Bay,Kai Tak,13 mins
Kowloon Bay,Sung Wong Toi,15 mins
Kowloon Bay,To Kwa Wan,17 mins
Kowloon Bay,Exhibition Centre,27 mins
Kowloon Bay,Che Kung Temple,19 mins
Kowloon Bay,Sha Tin Wai,21 mins
Kowloon Bay,City One,23 mins
Kowloon Bay,Shek Mun,25 mins
Kowloon Bay,Tai Shui Hang,29 mins
Kowloon Bay,Heng On,31 mins
Kowloon Bay,Ma On Shan,33 mins
Kowloon Bay,Wu Kai Sha,35 mins
Kowloon Bay,Austin,27 mins
Kowloon Bay,Tsuen Wan West,37 mins
Kowloon Bay,Kam Sheung Road,43 mins
Kowloon Bay,Yuen Long,47 mins
Kowloon Bay,Long Ping,49 mins
Kowloon Bay,Tin Shui Wai,51 mins
Kowloon Bay,Siu Hong,56 mins
Kowloon Bay,Tuen Mun,58 mins
Kowloon Bay,Hong Kong West Kowloon,31 mins
