Origin,Destination,Time
Olympic,Tsing Yi,11 mins
Olympic,Tung Chung,25 mins
Olympic,Airport,30 mins
Olympic,Yau Tong,35 mins
Olympic,Tiu Keng Leng,38 mins
Olympic,Tseung Kwan O,40 mins
Olympic,Hang Hau,43 mins
Olympic,Po Lam,45 mins
Olympic,Nam Cheong,4 mins
Olympic,Sunny Bay,19 mins
Olympic,Disneyland Resort,25 mins
Olympic,AsiaWorld-Expo,33 mins
Olympic,LOHAS Park,46 mins
Olympic,Hung Hom,17 mins
Olympic,Mong Kok East,23 mins
Olympic,Tai Wai,30 mins
Olympic,Sha Tin,32 mins
Olympic,Fo Tan,35 mins
Olympic,Racecourse,40 mins
Olympic,University,38 mins
Olympic,Tai Po Market,44 mins
Olympic,Tai Wo,46 mins
Olympic,Fanling,51 mins
Olympic,Sheung Shui,53 mins
Olympic,Lo Wu,57 mins
Olympic,Lok Ma Chau,63 mins
Olympic,East Tsim Sha Tsui,14 mins
Olympic,Sai Ying Pun,19 mins
Olympic,HKU,20 mins
Olympic,Kennedy Town,22 mins
Olympic,Ho Man Tin,19 mins
Olympic,Whampoa,26 mins
Olympic,Ocean Park,26 mins
Olympic,Wong Chuk Hang,28 mins
Olympic,Lei Tung,31 mins
Olympic,South Horizons,32 mins
Olympic,Hin Keng,33 mins
Olympic,Kai Tak,26 mins
Olympic,Sung Wong Toi,24 mins
Olympic,To Kwa Wan,22 mins
Olympic,Exhibition Centre,23 mins
Olympic,Che Kung Temple,37 mins
Olympic,Sha Tin Wai,38 mins
Olympic,City One,41 mins
Olympic,Shek Mun,42 mins
Olympic,Tai Shui Hang,46 mins
Olympic,Heng On,48 mins
Olympic,Ma On Shan,50 mins
Olympic,Wu Kai Sha,52 mins
Olympic,Austin,12 mins
Olympic,Tsuen Wan West,16 mins
Olympic,Kam Sheung Road,22 mins
Olympic,Yuen Long,25 mins
Olympic,Long Ping,27 mins
Olympic,Tin Shui Wai,30 mins
Olympic,Siu Hong,34 mins
Olympic,Tuen Mun,37 mins
Olympic,Hong Kong West Kowloon,15 mins
