Origin,Destination,Time
Hung Hom,Mong Kok East,5 mins
Hung Hom,Tai Wai,12 mins
Hung Hom,Sha Tin,14 mins
Hung Hom,Fo Tan,17 mins
Hung Hom,Racecourse,21 mins
Hung Hom,University,20 mins
Hung Hom,Tai Po Market,25 mins
Hung Hom,Tai Wo,28 mins
Hung Hom,Fanling,32 mins
Hung Hom,Sheung Shui,34 mins
Hung Hom,Lo Wu,39 mins
Hung Hom,Lok Ma Chau,44 mins
Hung Hom,East Tsim Sha Tsui,4 mins
Hung Hom,Sai Ying Pun,16 mins
Hung Hom,HKU,17 mins
Hung Hom,Kennedy Town,19 mins
Hung Hom,Ho Man Tin,4 mins
Hung Hom,Whampoa,11 mins
Hung Hom,Ocean Park,14 mins
Hung Hom,Wong Chuk Hang,16 mins
Hung Hom,Lei Tung,18 mins
Hung Hom,South Horizons,20 mins
Hung Hom,Hin Keng,17 mins
Hung Hom,Kai Tak,10 mins
Hung Hom,Sung Wong Toi,8 mins
Hung Hom,To Kwa Wan,6 mins
Hung Hom,Exhibition Centre,5 mins
Hung Hom,Che Kung Temple,18 mins
Hung Hom,Sha Tin Wai,20 mins
Hung Hom,City One,22 mins
Hung Hom,Shek Mun,24 mins
Hung Hom,Tai Shui Hang,27 mins
Hung Hom,Heng On,29 mins
Hung Hom,Ma On Shan,32 mins
Hung Hom,Wu Kai Sha,34 mins
Hung Hom,Austin,7 mins
Hung Hom,Tsuen Wan West,17 mins
Hung Hom,Kam Sheung Road,23 mins
Hung Hom,Yuen Long,27 mins
Hung Hom,Long Ping,29 mins
Hung Hom,Tin Shui Wai,32 mins
Hung Hom,Siu Hong,36 mins
Hung Hom,Tuen Mun,39 mins
Hung Hom,Hong Kong West Kowloon,11 mins
