Origin,Destination,Time
Kwai Fong,Kwai Hing,3 mins
Kwai Fong,Tai Wo Hau,5 mins
Kwai Fong,Tsuen Wan,7 mins
Kwai Fong,Sheung Wan,26 mins
Kwai Fong,Wan Chai,28 mins
Kwai Fong,Causeway Bay,31 mins
Kwai Fong,Tin Hau,33 mins
Kwai Fong,Fortress Hill,34 mins
Kwai Fong,North Point,36 mins
Kwai Fong,Quarry Bay,38 mins
Kwai Fong,Tai Koo,40 mins
Kwai Fong,Sai Wan Ho,42 mins
Kwai Fong,Shau Kei Wan,43 mins
Kwai Fong,Heng Fa Chuen,46 mins
Kwai Fong,Chai Wan,48 mins
Kwai Fong,Lam Tin,36 mins
Kwai Fong,Hong Kong,17 mins
Kwai Fong,Kowloon,14 mins
Kwai Fong,Olympic,11 mins
Kwai Fong,Tsing Yi,10 mins
Kwai Fong,Tung Chung,25 mins
Kwai Fong,Airport,29 mins
Kwai Fong,Yau Tong,38 mins
Kwai Fong,Tiu Keng Leng,41 mins
Kwai Fong,Tseung Kwan O,44 mins
Kwai Fong,Hang Hau,47 mins
Kwai Fong,Po Lam,49 mins
Kwai Fong,Nam Cheong,9 mins
Kwai Fong,Sunny Bay,18 mins
Kwai Fong,Disneyland Resort,25 mins
Kwai Fong,AsiaWorld-Expo,33 mins
Kwai Fong,LOHAS Park,50 mins
Kwai Fong,Hung Hom,22 mins
Kwai Fong,Mong Kok East,27 mins
Kwai Fong,Tai Wai,29 mins
Kwai Fong,Sha Tin,31 mins
Kwai Fong,Fo Tan,34 mins
Kwai Fong,Racecourse,38 mins
Kwai Fong,University,37 mins
Kwai Fong,Tai Po Market,42 mins
Kwai Fong,Tai Wo,44 mins
Kwai Fong,Fanling,49 mins
Kwai Fong,Sheung Shui,51 mins
Kwai Fong,Lo Wu,56 mins
Kwai Fong,Lok Ma Chau,61 mins
Kwai Fong,East Tsim Sha Tsui,19 mins
Kwai Fong,Sai Ying Pun,28 mins
Kwai Fong,HKU,30 mins
Kwai Fong,Kennedy Town,31 mins
Kwai Fong,Ho Man Tin,22 mins
Kwai Fong,Whampoa,24 mins
Kwai Fong,Ocean Park,34 mins
Kwai Fong,Wong Chuk Hang,36 mins
Kwai Fong,Lei Tung,38 mins
Kwai Fong,South Horizons,40 mins
Kwai Fong,Hin Keng,35 mins
Kwai Fong,Kai Tak,30 mins
Kwai Fong,Sung Wong Toi,28 mins
Kwai Fong,To Kwa Wan,26 mins
Kwai Fong,Exhibition Centre,28 mins
Kwai Fong,Che Kung Temple,35 mins
Kwai Fong,Sha Tin Wai,37 mins
Kwai Fong,City One,39 mins
Kwai Fong,Shek Mun,41 mins
Kwai Fong,Tai Shui Hang,44 mins
Kwai Fong,Heng On,46 mins
Kwai Fong,Ma On Shan,49 mins
Kwai Fong,Wu Kai Sha,51 mins
Kwai Fong,Austin,16 mins
Kwai Fong,Tsuen Wan West,19 mins
Kwai Fong,Kam Sheung Road,25 mins
Kwai Fong,Yuen Long,28 mins
Kwai Fong,Long Ping,30 mins
Kwai Fong,Tin Shui Wai,33 mins
Kwai Fong,Siu Hong,37 mins
Kwai Fong,Tuen Mun,40 mins
Kwai Fong,Hong Kong West Kowloon,20 mins
