Origin,Destination,Time
Central,Admiralty,3 mins
Central,Tsim Sha Tsui,6 mins
Central,Jordan,8 mins
Central,Yau Ma Tei,10 mins
Central,Mong Kok,12 mins
Central,Shek Kip Mei,17 mins
Central,Kowloon Tong,19 mins
Central,Lok Fu,21 mins
Central,Wong Tai Sin,23 mins
Central,Diamond Hill,25 mins
Central,Choi Hung,27 mins
Central,Kowloon Bay,30 mins
Central,Ngau Tau Kok,29 mins
Central,Kwun Tong,27 mins
Central,Prince Edward,14 mins
Central,Sham Shui Po,16 mins
Central,Cheung Sha Wan,18 mins
Central,Lai Chi Kok,20 mins
Central,Mei Foo,22 mins
Central,Lai King,20 mins
Central,Kwai Fong,24 mins
Central,Kwai Hing,25 mins
Central,Tai Wo Hau,28 mins
Central,Tsuen Wan,29 mins
Central,Sheung Wan,3 mins
Central,Wan Chai,5 mins
Central,Causeway Bay,7 mins
Central,Tin Hau,9 mins
Central,Fortress Hill,11 mins
Central,North Point,13 mins
Central,Quarry Bay,15 mins
Central,Tai Koo,17 mins
Central,Sai Wan Ho,18 mins
Central,Shau Kei Wan,20 mins
Central,Heng Fa Chuen,22 mins
Central,Chai Wan,25 mins
Central,Lam Tin,25 mins
Central,Hong Kong,8 mins
Central,Kowloon,12 mins
Central,Olympic,14 mins
Central,Tsing Yi,23 mins
Central,Tung Chung,38 mins
Central,Airport,33 mins
Central,Yau Tong,21 mins
Central,Tiu Keng Leng,24 mins
Central,Tseung Kwan O,26 mins
Central,Hang Hau,29 mins
Central,Po Lam,31 mins
Central,Nam Cheong,16 mins
Central,Sunny Bay,31 mins
Central,Disneyland Resort,38 mins
Central,AsiaWorld-Expo,37 mins
Central,LOHAS Park,32 mins
Central,Hung Hom,12 mins
Central,Mong Kok East,16 mins
Central,Tai Wai,23 mins
Central,Sha Tin,25 mins
Central,Fo Tan,28 mins
Central,Racecourse,32 mins
Central,University,31 mins
Central,Tai Po Market,36 mins
Central,Tai Wo,38 mins
Central,Fanling,43 mins
Central,Sheung Shui,45 mins
Central,Lo Wu,50 mins
Central,Lok Ma Chau,55 mins
Central,East Tsim Sha Tsui,16 mins
Central,Sai Ying Pun,5 mins
Central,HKU,6 mins
Central,Kennedy Town,8 mins
Central,Ho Man Tin,15 mins
Central,Whampoa,17 mins
Central,Ocean Park,12 mins
Central,Wong Chuk Hang,14 mins
Central,Lei Tung,16 mins
Central,South Horizons,18 mins
Central,Hin Keng,29 mins
Central,Kai Tak,23 mins
Central,Sung Wong Toi,21 mins
Central,To Kwa Wan,19 mins
Central,Exhibition Centre,9 mins
Central,Che Kung Temple,29 mins
Central,Sha Tin Wai,31 mins
Central,City One,33 mins
Central,Shek Mun,35 mins
Central,Tai Shui Hang,38 mins
Central,Heng On,40 mins
Central,Ma On Shan,43 mins
Central,Wu Kai Sha,45 mins
Central,Austin,20 mins
Central,Tsuen Wan West,28 mins
Central,Kam Sheung Road,34 mins
Central,Yuen Long,37 mins
Central,Long Ping,39 mins
Central,Tin Shui Wai,42 mins
Central,Siu Hong,46 mins
Central,Tuen Mun,49 mins
Central,Hong Kong West Kowloon,22 mins
