Origin,Destination,Time
Kowloon,Olympic,4 mins
Kowloon,Tsing Yi,13 mins
Kowloon,Tung Chung,28 mins
Kowloon,Airport,22 mins
Kowloon,Yau Tong,33 mins
Kowloon,Tiu Keng Leng,36 mins
Kowloon,Tseung Kwan O,38 mins
Kowloon,Hang Hau,41 mins
Kowloon,Po Lam,43 mins
Kowloon,Nam Cheong,6 mins
Kowloon,Sunny Bay,21 mins
Kowloon,Disneyland Resort,28 mins
Kowloon,AsiaWorld-Expo,25 mins
Kowloon,LOHAS Park,44 mins
Kowloon,Hung Hom,20 mins
Kowloon,Mong Kok East,26 mins
Kowloon,Tai Wai,33 mins
Kowloon,Sha Tin,35 mins
Kowloon,Fo Tan,37 mins
Kowloon,Racecourse,42 mins
Kowloon,University,41 mins
Kowloon,Tai Po Market,46 mins
Kowloon,Tai Wo,48 mins
Kowloon,Fanling,53 mins
Kowloon,Sheung Shui,55 mins
Kowloon,Lo Wu,59 mins
Kowloon,Lok Ma Chau,65 mins
Kowloon,East Tsim Sha Tsui,17 mins
Kowloon,Sai Ying Pun,16 mins
Kowloon,HKU,18 mins
Kowloon,Kennedy Town,19 mins
Kowloon,Ho Man Tin,22 mins
Kowloon,Whampoa,29 mins
Kowloon,Ocean Park,24 mins
Kowloon,Wong Chuk Hang,26 mins
Kowloon,Lei Tung,28 mins
Kowloon,South Horizons,30 mins
Kowloon,Hin Keng,35 mins
Kowloon,Kai Tak,28 mins
Kowloon,Sung Wong Toi,26 mins
Kowloon,To Kwa Wan,24 mins
Kowloon,Exhibition Centre,21 mins
Kowloon,Che Kung Temple,39 mins
Kowloon,Sha Tin Wai,41 mins
Kowloon,City One,43 mins
Kowloon,Shek Mun,45 mins
Kowloon,Tai Shui Hang,48 mins
Kowloon,Heng On,50 mins
Kowloon,Ma On Shan,52 mins
Kowloon,Wu Kai Sha,55 mins
Kowloon,Austin,14 mins
Kowloon,Tsuen Wan West,18 mins
Kowloon,Kam Sheung Road,24 mins
Kowloon,Yuen Long,27 mins
Kowloon,Long Ping,29 mins
Kowloon,Tin Shui Wai,32 mins
Kowloon,Siu Hong,37 mins
Kowloon,Tuen Mun,39 mins
Kowloon,Hong Kong West Kowloon,12 mins
