Origin,Destination,Time
Fortress Hill,North Point,3 mins
Fortress Hill,Quarry Bay,5 mins
Fortress Hill,Tai Koo,7 mins
Fortress Hill,Sai Wan Ho,8 mins
Fortress Hill,Shau Kei Wan,10 mins
Fortress Hill,Heng Fa Chuen,12 mins
Fortress Hill,Chai Wan,15 mins
Fortress Hill,Lam Tin,15 mins
Fortress Hill,Hong Kong,18 mins
Fortress Hill,Kowloon,23 mins
Fortress Hill,Olympic,25 mins
Fortress Hill,Tsing Yi,34 mins
Fortress Hill,Tung Chung,48 mins
Fortress Hill,Airport,44 mins
Fortress Hill,Yau Tong,11 mins
Fortress Hill,Tiu Keng Leng,14 mins
Fortress Hill,Tseung Kwan O,16 mins
Fortress Hill,Hang Hau,19 mins
Fortress Hill,Po Lam,21 mins
Fortress Hill,Nam Cheong,27 mins
Fortress Hill,Sunny Bay,42 mins
Fortress Hill,Disneyland Resort,49 mins
Fortress Hill,AsiaWorld-Expo,48 mins
Fortress Hill,LOHAS Park,22 mins
Fortress Hill,Hung Hom,18 mins
Fortress Hill,Mong Kok East,22 mins
Fortress Hill,Tai Wai,29 mins
Fortress Hill,Sha Tin,31 mins
Fortress Hill,Fo Tan,34 mins
Fortress Hill,Racecourse,38 mins
Fortress Hill,University,37 mins
Fortress Hill,Tai Po Market,42 mins
Fortress Hill,Tai Wo,44 mins
Fortress Hill,Fanling,49 mins
Fortress Hill,Sheung Shui,51 mins
Fortress Hill,Lo Wu,56 mins
Fortress Hill,Lok Ma Chau,61 mins
Fortress Hill,East Tsim Sha Tsui,24 mins
Fortress Hill,Sai Ying Pun,15 mins
Fortress Hill,HKU,16 mins
Fortress Hill,Kennedy Town,17 mins
Fortress Hill,Ho Man Tin,22 mins
Fortress Hill,Whampoa,25 mins
Fortress Hill,Ocean Park,18 mins
Fortress Hill,Wong Chuk Hang,20 mins
Fortress Hill,Lei Tung,22 mins
Fortress Hill,South Horizons,24 mins
Fortress Hill,Hin Keng,35 mins
Fortress Hill,Kai Tak,29 mins
Fortress Hill,Sung Wong Toi,27 mins
Fortress Hill,To Kwa Wan,25 mins
Fortress Hill,Exhibition Centre,15 mins
Fortress Hill,Che Kung Temple,35 mins
Fortress Hill,Sha Tin Wai,37 mins
Fortress Hill,City One,39 mins
Fortress Hill,Shek Mun,41 mins
Fortress Hill,Tai Shui Hang,44 mins
Fortress Hill,Heng On,46 mins
Fortress Hill,Ma On Shan,49 mins
Fortress Hill,Wu Kai Sha,51 mins
Fortress Hill,Austin,26 mins
Fortress Hill,Tsuen Wan West,37 mins
Fortress Hill,Kam Sheung Road,43 mins
Fortress Hill,Yuen Long,46 mins
Fortress Hill,Long Ping,48 mins
Fortress Hill,Tin Shui Wai,51 mins
Fortress Hill,Siu Hong,55 mins
Fortress Hill,Tuen Mun,58 mins
Fortress Hill,Hong Kong West Kowloon,30 mins
