Origin,Destination,Time
Causeway Bay,Tin Hau,3 mins
Causeway Bay,Fortress Hill,5 mins
Causeway Bay,North Point,6 mins
Causeway Bay,Quarry Bay,8 mins
Causeway Bay,Tai Koo,10 mins
Causeway Bay,Sai Wan Ho,12 mins
Causeway Bay,Shau Kei Wan,14 mins
Causeway Bay,Heng Fa Chuen,16 mins
Causeway Bay,Chai Wan,18 mins
Causeway Bay,Lam Tin,19 mins
Causeway Bay,Hong Kong,14 mins
Causeway Bay,Kowloon,19 mins
Causeway Bay,Olympic,21 mins
Causeway Bay,Tsing Yi,31 mins
Causeway Bay,Tung Chung,45 mins
Causeway Bay,Airport,40 mins
Causeway Bay,Yau Tong,15 mins
Causeway Bay,Tiu Keng Leng,18 mins
Causeway Bay,Tseung Kwan O,20 mins
Causeway Bay,Hang Hau,23 mins
Causeway Bay,Po Lam,25 mins
Causeway Bay,Nam Cheong,23 mins
Causeway Bay,Sunny Bay,38 mins
Causeway Bay,Disneyland Resort,45 mins
Causeway Bay,AsiaWorld-Expo,44 mins
Causeway Bay,LOHAS Park,26 mins
Causeway Bay,Hung Hom,15 mins
Causeway Bay,Mong Kok East,18 mins
Causeway Bay,Tai Wai,25 mins
Causeway Bay,Sha Tin,27 mins
Causeway Bay,Fo Tan,30 mins
Causeway Bay,Racecourse,35 mins
Causeway Bay,University,33 mins
Causeway Bay,Tai Po Market,39 mins
Causeway Bay,Tai Wo,41 mins
Causeway Bay,Fanling,46 mins
Causeway Bay,Sheung Shui,48 mins
Causeway Bay,Lo Wu,52 mins
Causeway Bay,Lok Ma Chau,58 mins
Causeway Bay,East Tsim Sha Tsui,20 mins
Causeway Bay,Sai Ying Pun,11 mins
Causeway Bay,HKU,12 mins
Causeway Bay,Kennedy Town,14 mins
Causeway Bay,Ho Man Tin,19 mins
Causeway Bay,Whampoa,21 mins
Causeway Bay,Ocean Park,14 mins
Causeway Bay,Wong Chuk Hang,16 mins
Causeway Bay,Lei Tung,19 mins
Causeway Bay,South Horizons,21 mins
Causeway Bay,Hin Keng,32 mins
Causeway Bay,Kai Tak,26 mins
Causeway Bay,Sung Wong Toi,24 mins
Causeway Bay,To Kwa Wan,22 mins
Causeway Bay,Exhibition Centre,11 mins
Causeway Bay,Che Kung Temple,32 mins
Causeway Bay,Sha Tin Wai,33 mins
Causeway Bay,City One,36 mins
Causeway Bay,Shek Mun,37 mins
Causeway Bay,Tai Shui Hang,41 mins
Causeway Bay,Heng On,43 mins
Causeway Bay,Ma On Shan,45 mins
Causeway Bay,Wu Kai Sha,47 mins
Causeway Bay,Austin,23 mins
Causeway Bay,Tsuen Wan West,33 mins
Causeway Bay,Kam Sheung Road,39 mins
Causeway Bay,Yuen Long,43 mins
Causeway Bay,Long Ping,45 mins
Causeway Bay,Tin Shui Wai,47 mins
Causeway Bay,Siu Hong,52 mins
Causeway Bay,Tuen Mun,54 mins
Causeway Bay,Hong Kong West Kowloon,27 mins
