Origin,Destination,Time
Diamond Hill,Choi Hung,3 mins
Diamond Hill,Kowloon Bay,6 mins
Diamond Hill,Ngau Tau Kok,8 mins
Diamond Hill,Kwun Tong,10 mins
Diamond Hill,Prince Edward,11 mins
Diamond Hill,Sham Shui Po,15 mins
Diamond Hill,Cheung Sha Wan,17 mins
Diamond Hill,Lai Chi Kok,18 mins
Diamond Hill,Mei Foo,20 mins
Diamond Hill,Lai King,23 mins
Diamond Hill,Kwai Fong,25 mins
Diamond Hill,Kwai Hing,27 mins
Diamond Hill,Tai Wo Hau,29 mins
Diamond Hill,Tsuen Wan,31 mins
Diamond Hill,Sheung Wan,27 mins
Diamond Hill,Wan Chai,26 mins
Diamond Hill,Causeway Bay,28 mins
Diamond Hill,Tin Hau,27 mins
Diamond Hill,Fortress Hill,25 mins
Diamond Hill,North Point,21 mins
Diamond Hill,Quarry Bay,19 mins
Diamond Hill,Tai Koo,26 mins
Diamond Hill,Sai Wan Ho,27 mins
Diamond Hill,Shau Kei Wan,29 mins
Diamond Hill,Heng Fa Chuen,31 mins
Diamond Hill,Chai Wan,34 mins
Diamond Hill,Lam Tin,11 mins
Diamond Hill,Hong Kong,30 mins
Diamond Hill,Kowloon,27 mins
Diamond Hill,Olympic,25 mins
Diamond Hill,Tsing Yi,29 mins
Diamond Hill,Tung Chung,43 mins
Diamond Hill,Airport,48 mins
Diamond Hill,Yau Tong,14 mins
Diamond Hill,Tiu Keng Leng,17 mins
Diamond Hill,Tseung Kwan O,20 mins
Diamond Hill,Hang Hau,23 mins
Diamond Hill,Po Lam,24 mins
Diamond Hill,Nam Cheong,21 mins
Diamond Hill,Sunny Bay,37 mins
Diamond Hill,Disneyland Resort,43 mins
Diamond Hill,AsiaWorld-Expo,52 mins
Diamond Hill,LOHAS Park,26 mins
Diamond Hill,Hung Hom,12 mins
Diamond Hill,Mong Kok East,15 mins
Diamond Hill,Tai Wai,8 mins
Diamond Hill,Sha Tin,15 mins
Diamond Hill,Fo Tan,18 mins
Diamond Hill,Racecourse,22 mins
Diamond Hill,University,21 mins
Diamond Hill,Tai Po Market,26 mins
Diamond Hill,Tai Wo,29 mins
Diamond Hill,Fanling,33 mins
Diamond Hill,Sheung Shui,35 mins
Diamond Hill,Lo Wu,40 mins
Diamond Hill,Lok Ma Chau,45 mins
Diamond Hill,East Tsim Sha Tsui,15 mins
Diamond Hill,Sai Ying Pun,29 mins
Diamond Hill,HKU,31 mins
Diamond Hill,Kennedy Town,32 mins
Diamond Hill,Ho Man Tin,10 mins
Diamond Hill,Whampoa,17 mins
Diamond Hill,Ocean Park,27 mins
Diamond Hill,Wong Chuk Hang,29 mins
Diamond Hill,Lei Tung,32 mins
Diamond Hill,South Horizons,33 mins
Diamond Hill,Hin Keng,6 mins
Diamond Hill,Kai Tak,4 mins
Diamond Hill,Sung Wong Toi,6 mins
Diamond Hill,To Kwa Wan,8 mins
Diamond Hill,Exhibition Centre,18 mins
Diamond Hill,Che Kung Temple,10 mins
Diamond Hill,Sha Tin Wai,12 mins
Diamond Hill,City One,14 mins
Diamond Hill,Shek Mun,16 mins
Diamond Hill,Tai Shui Hang,20 mins
Diamond Hill,Heng On,22 mins
Diamond Hill,Ma On Shan,24 mins
Diamond Hill,Wu Kai Sha,26 mins
Diamond Hill,Austin,18 mins
Diamond Hill,Tsuen Wan West,28 mins
Diamond Hill,Kam Sheung Road,34 mins
Diamond Hill,Yuen Long,38 mins
Diamond Hill,Long Ping,40 mins
Diamond Hill,Tin Shui Wai,42 mins
Diamond Hill,Siu Hong,47 mins
Diamond Hill,Tuen Mun,49 mins
Diamond Hill,Hong Kong West Kowloon,22 mins
