Origin,Destination,Time
Kwai Hing,Tai Wo Hau,3 mins
Kwai Hing,Tsuen Wan,5 mins
Kwai Hing,Sheung Wan,28 mins
Kwai Hing,Wan Chai,30 mins
Kwai Hing,Causeway Bay,32 mins
Kwai Hing,Tin Hau,34 mins
Kwai Hing,Fortress Hill,36 mins
Kwai Hing,North Point,38 mins
Kwai Hing,Quarry Bay,40 mins
Kwai Hing,Tai Koo,42 mins
Kwai Hing,Sai Wan Ho,43 mins
Kwai Hing,Shau Kei Wan,45 mins
Kwai Hing,Heng Fa Chuen,47 mins
Kwai Hing,Chai Wan,50 mins
Kwai Hing,Lam Tin,38 mins
Kwai Hing,Hong Kong,18 mins
Kwai Hing,Kowloon,15 mins
Kwai Hing,Olympic,13 mins
Kwai Hing,Tsing Yi,12 mins
Kwai Hing,Tung Chung,26 mins
Kwai Hing,Airport,31 mins
Kwai Hing,Yau Tong,40 mins
Kwai Hing,Tiu Keng Leng,43 mins
Kwai Hing,Tseung Kwan O,46 mins
Kwai Hing,Hang Hau,49 mins
Kwai Hing,Po Lam,51 mins
Kwai Hing,Nam Cheong,11 mins
Kwai Hing,Sunny Bay,20 mins
Kwai Hing,Disneyland Resort,27 mins
Kwai Hing,AsiaWorld-Expo,35 mins
Kwai Hing,LOHAS Park,52 mins
Kwai Hing,Hung Hom,24 mins
Kwai Hing,Mong Kok East,29 mins
Kwai Hing,Tai Wai,31 mins
Kwai Hing,Sha Tin,33 mins
Kwai Hing,Fo Tan,35 mins
Kwai Hing,Racecourse,40 mins
Kwai Hing,University,39 mins
Kwai Hing,Tai Po Market,44 mins
Kwai Hing,Tai Wo,46 mins
Kwai Hing,Fanling,51 mins
Kwai Hing,Sheung Shui,53 mins
Kwai Hing,Lo Wu,57 mins
Kwai Hing,Lok Ma Chau,63 mins
Kwai Hing,East Tsim Sha Tsui,21 mins
Kwai Hing,Sai Ying Pun,30 mins
Kwai Hing,HKU,32 mins
Kwai Hing,Kennedy Town,33 mins
Kwai Hing,Ho Man Tin,23 mins
Kwai Hing,Whampoa,26 mins
Kwai Hing,Ocean Park,36 mins
Kwai Hing,Wong Chuk Hang,38 mins
Kwai Hing,Lei Tung,40 mins
Kwai Hing,South Horizons,42 mins
Kwai Hing,Hin Keng,37 mins
Kwai Hing,Kai Tak,32 mins
Kwai Hing,Sung Wong Toi,30 mins
Kwai Hing,To Kwa Wan,28 mins
Kwai Hing,Exhibition Centre,30 mins
Kwai Hing,Che Kung Temple,37 mins
Kwai Hing,Sha Tin Wai,39 mins
Kwai Hing,City One,41 mins
Kwai Hing,Shek Mun,43 mins
Kwai Hing,Tai Shui Hang,46 mins
Kwai Hing,Heng On,48 mins
Kwai Hing,Ma On Shan,50 mins
Kwai Hing,Wu Kai Sha,53 mins
Kwai Hing,Austin,18 mins
Kwai Hing,Tsuen Wan West,20 mins
Kwai Hing,Kam Sheung Road,26 mins
Kwai Hing,Yuen Long,30 mins
Kwai Hing,Long Ping,32 mins
Kwai Hing,Tin Shui Wai,34 mins
Kwai Hing,Siu Hong,39 mins
Kwai Hing,Tuen Mun,41 mins
Kwai Hing,Hong Kong West Kowloon,22 mins
