Origin,Destination,Time
Tai Wo,Fanling,6 mins
Tai Wo,Sheung Shui,9 mins
Tai Wo,Lo Wu,13 mins
Tai Wo,Lok Ma Chau,19 mins
Tai Wo,East Tsim Sha Tsui,33 mins
Tai Wo,Sai Ying Pun,42 mins
Tai Wo,HKU,43 mins
Tai Wo,Kennedy Town,45 mins
Tai Wo,Ho Man Tin,32 mins
Tai Wo,Whampoa,39 mins
Tai Wo,Ocean Park,40 mins
Tai Wo,Wong Chuk Hang,42 mins
Tai Wo,Lei Tung,44 mins
Tai Wo,South Horizons,46 mins
Tai Wo,Hin Keng,23 mins
Tai Wo,Kai Tak,30 mins
Tai Wo,Sung Wong Toi,32 mins
Tai Wo,To Kwa Wan,34 mins
Tai Wo,Exhibition Centre,31 mins
Tai Wo,Che Kung Temple,23 mins
Tai Wo,Sha Tin Wai,25 mins
Tai Wo,City One,27 mins
Tai Wo,Shek Mun,29 mins
Tai Wo,Tai Shui Hang,32 mins
Tai Wo,Heng On,34 mins
Tai Wo,Ma On Shan,37 mins
Tai Wo,Wu Kai Sha,39 mins
Tai Wo,Austin,36 mins
Tai Wo,Tsuen Wan West,46 mins
Tai Wo,Kam Sheung Road,52 mins
Tai Wo,Yuen Long,55 mins
Tai Wo,Long Ping,57 mins
Tai Wo,Tin Shui Wai,60 mins
Tai Wo,Siu Hong,65 mins
Tai Wo,Tuen Mun,67 mins
Tai Wo,Hong Kong West Kowloon,40 mins
