Origin,Destination,Time
Kowloon Tong,Lok Fu,3 mins
Kowloon Tong,Wong Tai Sin,5 mins
Kowloon Tong,Diamond Hill,7 mins
Kowloon Tong,Choi Hung,9 mins
Kowloon Tong,Kowloon Bay,12 mins
Kowloon Tong,Ngau Tau Kok,14 mins
Kowloon Tong,Kwun Tong,16 mins
Kowloon Tong,Prince Edward,5 mins
Kowloon Tong,Sham Shui Po,9 mins
Kowloon Tong,Cheung Sha Wan,11 mins
Kowloon Tong,Lai Chi Kok,12 mins
Kowloon Tong,Mei Foo,14 mins
Kowloon Tong,Lai King,17 mins
Kowloon Tong,Kwai Fong,19 mins
Kowloon Tong,Kwai Hing,21 mins
Kowloon Tong,Tai Wo Hau,23 mins
Kowloon Tong,Tsuen Wan,25 mins
Kowloon Tong,Sheung Wan,20 mins
Kowloon Tong,Wan Chai,19 mins
Kowloon Tong,Causeway Bay,21 mins
Kowloon Tong,Tin Hau,23 mins
Kowloon Tong,Fortress Hill,25 mins
Kowloon Tong,North Point,27 mins
Kowloon Tong,Quarry Bay,25 mins
Kowloon Tong,Tai Koo,30 mins
Kowloon Tong,Sai Wan Ho,32 mins
Kowloon Tong,Shau Kei Wan,34 mins
Kowloon Tong,Heng Fa Chuen,36 mins
Kowloon Tong,Chai Wan,38 mins
Kowloon Tong,Lam Tin,17 mins
Kowloon Tong,Hong Kong,25 mins
Kowloon Tong,Kowloon,25 mins
Kowloon Tong,Olympic,23 mins
Kowloon Tong,Tsing Yi,23 mins
Kowloon Tong,Tung Chung,37 mins
Kowloon Tong,Airport,42 mins
Kowloon Tong,Yau Tong,20 mins
Kowloon Tong,Tiu Keng Leng,23 mins
Kowloon Tong,Tseung Kwan O,26 mins
Kowloon Tong,Hang Hau,29 mins
Kowloon Tong,Po Lam,30 mins
Kowloon Tong,Nam Cheong,19 mins
Kowloon Tong,Sunny Bay,31 mins
Kowloon Tong,Disneyland Resort,37 mins
Kowloon Tong,AsiaWorld-Expo,46 mins
Kowloon Tong,LOHAS Park,32 mins
Kowloon Tong,Hung Hom,8 mins
Kowloon Tong,Mong Kok East,4 mins
Kowloon Tong,Tai Wai,6 mins
Kowloon Tong,Sha Tin,8 mins
Kowloon Tong,Fo Tan,10 mins
Kowloon Tong,Racecourse,15 mins
Kowloon Tong,University,14 mins
Kowloon Tong,Tai Po Market,19 mins
Kowloon Tong,Tai Wo,21 mins
Kowloon Tong,Fanling,26 mins
Kowloon Tong,Sheung Shui,28 mins
Kowloon Tong,Lo Wu,32 mins
Kowloon Tong,Lok Ma Chau,38 mins
Kowloon Tong,East Tsim Sha Tsui,13 mins
Kowloon Tong,Sai Ying Pun,22 mins
Kowloon Tong,HKU,24 mins
Kowloon Tong,Kennedy Town,25 mins
Kowloon Tong,Ho Man Tin,11 mins
Kowloon Tong,Whampoa,14 mins
Kowloon Tong,Ocean Park,20 mins
Kowloon Tong,Wong Chuk Hang,22 mins
Kowloon Tong,Lei Tung,25 mins
Kowloon Tong,South Horizons,26 mins
Kowloon Tong,Hin Keng,12 mins
Kowloon Tong,Kai Tak,14 mins
Kowloon Tong,Sung Wong Toi,16 mins
Kowloon Tong,To Kwa Wan,15 mins
Kowloon Tong,Exhibition Centre,11 mins
Kowloon Tong,Che Kung Temple,12 mins
Kowloon Tong,Sha Tin Wai,14 mins
Kowloon Tong,City One,16 mins
Kowloon Tong,Shek Mun,18 mins
Kowloon Tong,Tai Shui Hang,21 mins
Kowloon Tong,Heng On,23 mins
Kowloon Tong,Ma On Shan,25 mins
Kowloon Tong,Wu Kai Sha,28 mins
Kowloon Tong,Austin,16 mins
Kowloon Tong,Tsuen Wan West,26 mins
Kowloon Tong,Kam Sheung Road,32 mins
Kowloon Tong,Yuen Long,36 mins
Kowloon Tong,Long Ping,38 mins
Kowloon Tong,Tin Shui Wai,40 mins
Kowloon Tong,Siu Hong,45 mins
Kowloon Tong,Tuen Mun,47 mins
Kowloon Tong,Hong Kong West Kowloon,20 mins
