Origin,Destination,Time
Lok Fu,Wong Tai Sin,3 mins
Lok Fu,Diamond Hill,5 mins
Lok Fu,Choi Hung,7 mins
Lok Fu,Kowloon Bay,9 mins
Lok Fu,Ngau Tau Kok,12 mins
Lok Fu,Kwun Tong,13 mins
Lok Fu,Prince Edward,8 mins
Lok Fu,Sham Shui Po,11 mins
Lok Fu,Cheung Sha Wan,13 mins
Lok Fu,Lai Chi Kok,15 mins
Lok Fu,Mei Foo,17 mins
Lok Fu,Lai King,19 mins
Lok Fu,Kwai Fong,22 mins
Lok Fu,Kwai Hing,23 mins
Lok Fu,Tai Wo Hau,26 mins
Lok Fu,Tsuen Wan,27 mins
Lok Fu,Sheung Wan,26 mins
Lok Fu,Wan Chai,23 mins
Lok Fu,Causeway Bay,25 mins
Lok Fu,Tin Hau,27 mins
Lok Fu,Fortress Hill,29 mins
Lok Fu,North Point,25 mins
Lok Fu,Quarry Bay,23 mins
Lok Fu,Tai Koo,30 mins
Lok Fu,Sai Wan Ho,31 mins
Lok Fu,Shau Kei Wan,33 mins
Lok Fu,Heng Fa Chuen,35 mins
Lok Fu,Chai Wan,38 mins
Lok Fu,Lam Tin,15 mins
Lok Fu,Hong Kong,30 mins
Lok Fu,Kowloon,31 mins
Lok Fu,Olympic,29 mins
Lok Fu,Tsing Yi,25 mins
Lok Fu,Tung Chung,39 mins
Lok Fu,Airport,44 mins
Lok Fu,Yau Tong,17 mins
Lok Fu,Tiu Keng Leng,20 mins
Lok Fu,Tseung Kwan O,24 mins
Lok Fu,Hang Hau,27 mins
Lok Fu,Po Lam,28 mins
Lok Fu,Nam Cheong,26 mins
Lok Fu,Sunny Bay,33 mins
Lok Fu,Disneyland Resort,40 mins
Lok Fu,AsiaWorld-Expo,48 mins
Lok Fu,LOHAS Park,30 mins
Lok Fu,Hung Hom,15 mins
Lok Fu,Mong Kok East,11 mins
Lok Fu,Tai Wai,13 mins
Lok Fu,Sha Tin,15 mins
Lok Fu,Fo Tan,17 mins
Lok Fu,Racecourse,22 mins
Lok Fu,University,21 mins
Lok Fu,Tai Po Market,26 mins
Lok Fu,Tai Wo,28 mins
Lok Fu,Fanling,33 mins
Lok Fu,Sheung Shui,35 mins
Lok Fu,Lo Wu,39 mins
Lok Fu,Lok Ma Chau,45 mins
Lok Fu,East Tsim Sha Tsui,20 mins
Lok Fu,Sai Ying Pun,28 mins
Lok Fu,HKU,30 mins
Lok Fu,Kennedy Town,31 mins
Lok Fu,Ho Man Tin,14 mins
Lok Fu,Whampoa,16 mins
Lok Fu,Ocean Park,27 mins
Lok Fu,Wong Chuk Hang,29 mins
Lok Fu,Lei Tung,32 mins
Lok Fu,South Horizons,34 mins
Lok Fu,Hin Keng,14 mins
Lok Fu,Kai Tak,12 mins
Lok Fu,Sung Wong Toi,14 mins
Lok Fu,To Kwa Wan,16 mins
Lok Fu,Exhibition Centre,19 mins
Lok Fu,Che Kung Temple,19 mins
Lok Fu,Sha Tin Wai,21 mins
Lok Fu,City One,23 mins
Lok Fu,Shek Mun,24 mins
Lok Fu,Tai Shui Hang,28 mins
Lok Fu,Heng On,30 mins
Lok Fu,Ma On Shan,32 mins
Lok Fu,Wu Kai Sha,34 mins
Lok Fu,Austin,23 mins
Lok Fu,Tsuen Wan West,30 mins
Lok Fu,Kam Sheung Road,36 mins
Lok Fu,Yuen Long,40 mins
Lok Fu,Long Ping,42 mins
Lok Fu,Tin Shui Wai,44 mins
Lok Fu,Siu Hong,49 mins
Lok Fu,Tuen Mun,51 mins
Lok Fu,Hong Kong West Kowloon,27 mins
